song_id,audio_path,valence,arousal
2,data\raw\deam\audio\2.mp3,3.1,3.0
3,data\raw\deam\audio\3.mp3,3.5,3.3
4,data\raw\deam\audio\4.mp3,5.7,5.5
5,data\raw\deam\audio\5.mp3,4.4,5.3
7,data\raw\deam\audio\7.mp3,5.8,6.4
8,data\raw\deam\audio\8.mp3,3.2,4.8
10,data\raw\deam\audio\10.mp3,4.0,4.7
12,data\raw\deam\audio\12.mp3,5.5,5.8
13,data\raw\deam\audio\13.mp3,3.2,4.0
17,data\raw\deam\audio\17.mp3,4.4,6.0
18,data\raw\deam\audio\18.mp3,4.8,3.9
19,data\raw\deam\audio\19.mp3,5.9,4.3
20,data\raw\deam\audio\20.mp3,5.4,6.5
21,data\raw\deam\audio\21.mp3,6.6,6.3
22,data\raw\deam\audio\22.mp3,4.0,4.8
24,data\raw\deam\audio\24.mp3,5.3,3.9
25,data\raw\deam\audio\25.mp3,7.9,4.7
31,data\raw\deam\audio\31.mp3,4.7,3.8
32,data\raw\deam\audio\32.mp3,4.2,3.3
35,data\raw\deam\audio\35.mp3,4.8,6.5
37,data\raw\deam\audio\37.mp3,6.6,5.3
39,data\raw\deam\audio\39.mp3,7.3,5.4
40,data\raw\deam\audio\40.mp3,4.6,4.8
41,data\raw\deam\audio\41.mp3,4.3,5.1
42,data\raw\deam\audio\42.mp3,6.1,5.1
43,data\raw\deam\audio\43.mp3,6.7,3.5
44,data\raw\deam\audio\44.mp3,3.9,4.9
45,data\raw\deam\audio\45.mp3,5.1,2.1
46,data\raw\deam\audio\46.mp3,5.3,4.0
47,data\raw\deam\audio\47.mp3,4.4,4.4
48,data\raw\deam\audio\48.mp3,4.5,4.8
49,data\raw\deam\audio\49.mp3,3.9,5.3
50,data\raw\deam\audio\50.mp3,3.6,4.8
51,data\raw\deam\audio\51.mp3,3.6,3.2
52,data\raw\deam\audio\52.mp3,4.6,5.1
53,data\raw\deam\audio\53.mp3,4.3,5.1
54,data\raw\deam\audio\54.mp3,3.1,3.3
55,data\raw\deam\audio\55.mp3,5.8,5.4
56,data\raw\deam\audio\56.mp3,6.4,5.8
58,data\raw\deam\audio\58.mp3,3.3,3.4
59,data\raw\deam\audio\59.mp3,5.3,4.1
60,data\raw\deam\audio\60.mp3,4.3,6.4
62,data\raw\deam\audio\62.mp3,6.2,3.9
64,data\raw\deam\audio\64.mp3,3.6,4.9
65,data\raw\deam\audio\65.mp3,6.4,5.8
67,data\raw\deam\audio\67.mp3,7.2,6.8
68,data\raw\deam\audio\68.mp3,3.8,4.9
69,data\raw\deam\audio\69.mp3,3.2,3.9
70,data\raw\deam\audio\70.mp3,4.4,3.6
71,data\raw\deam\audio\71.mp3,5.9,3.7
72,data\raw\deam\audio\72.mp3,6.7,5.6
73,data\raw\deam\audio\73.mp3,5.8,5.6
74,data\raw\deam\audio\74.mp3,3.0,4.3
76,data\raw\deam\audio\76.mp3,4.3,3.2
77,data\raw\deam\audio\77.mp3,4.2,2.9
78,data\raw\deam\audio\78.mp3,3.4,3.9
79,data\raw\deam\audio\79.mp3,5.5,5.5
80,data\raw\deam\audio\80.mp3,6.0,5.1
81,data\raw\deam\audio\81.mp3,6.1,3.9
82,data\raw\deam\audio\82.mp3,2.9,3.5
83,data\raw\deam\audio\83.mp3,6.1,5.8
84,data\raw\deam\audio\84.mp3,5.9,5.6
85,data\raw\deam\audio\85.mp3,7.1,6.2
86,data\raw\deam\audio\86.mp3,5.4,5.6
87,data\raw\deam\audio\87.mp3,5.3,2.6
88,data\raw\deam\audio\88.mp3,6.7,5.5
89,data\raw\deam\audio\89.mp3,4.5,4.8
90,data\raw\deam\audio\90.mp3,4.3,4.2
91,data\raw\deam\audio\91.mp3,4.5,5.5
92,data\raw\deam\audio\92.mp3,5.8,4.7
93,data\raw\deam\audio\93.mp3,7.2,6.0
95,data\raw\deam\audio\95.mp3,3.3,4.6
96,data\raw\deam\audio\96.mp3,6.8,6.9
98,data\raw\deam\audio\98.mp3,4.3,2.7
99,data\raw\deam\audio\99.mp3,4.3,4.1
101,data\raw\deam\audio\101.mp3,3.4,2.8
102,data\raw\deam\audio\102.mp3,6.5,5.4
103,data\raw\deam\audio\103.mp3,5.6,3.3
104,data\raw\deam\audio\104.mp3,6.1,3.3
105,data\raw\deam\audio\105.mp3,6.5,5.0
106,data\raw\deam\audio\106.mp3,4.6,3.3
107,data\raw\deam\audio\107.mp3,6.0,4.8
108,data\raw\deam\audio\108.mp3,4.5,4.2
109,data\raw\deam\audio\109.mp3,4.4,4.5
110,data\raw\deam\audio\110.mp3,4.4,2.8
111,data\raw\deam\audio\111.mp3,5.3,5.3
112,data\raw\deam\audio\112.mp3,6.8,6.4
113,data\raw\deam\audio\113.mp3,5.4,3.8
114,data\raw\deam\audio\114.mp3,4.8,5.7
115,data\raw\deam\audio\115.mp3,8.4,7.8
