image_path,genre
data\spectrograms\blues\blues.00000.png,blues
data\spectrograms\blues\blues.00000.png,blues
data\spectrograms\blues\blues.00001.png,blues
data\spectrograms\blues\blues.00001.png,blues
data\spectrograms\blues\blues.00002.png,blues
data\spectrograms\blues\blues.00002.png,blues
data\spectrograms\blues\blues.00003.png,blues
data\spectrograms\blues\blues.00003.png,blues
data\spectrograms\blues\blues.00004.png,blues
data\spectrograms\blues\blues.00004.png,blues
data\spectrograms\blues\blues.00005.png,blues
data\spectrograms\blues\blues.00005.png,blues
data\spectrograms\blues\blues.00006.png,blues
data\spectrograms\blues\blues.00006.png,blues
data\spectrograms\blues\blues.00007.png,blues
data\spectrograms\blues\blues.00007.png,blues
data\spectrograms\blues\blues.00008.png,blues
data\spectrograms\blues\blues.00008.png,blues
data\spectrograms\blues\blues.00009.png,blues
data\spectrograms\blues\blues.00009.png,blues
data\spectrograms\blues\blues.00010.png,blues
data\spectrograms\blues\blues.00010.png,blues
data\spectrograms\blues\blues.00011.png,blues
data\spectrograms\blues\blues.00011.png,blues
data\spectrograms\blues\blues.00012.png,blues
data\spectrograms\blues\blues.00012.png,blues
data\spectrograms\blues\blues.00013.png,blues
data\spectrograms\blues\blues.00013.png,blues
data\spectrograms\blues\blues.00014.png,blues
data\spectrograms\blues\blues.00014.png,blues
data\spectrograms\blues\blues.00015.png,blues
data\spectrograms\blues\blues.00015.png,blues
data\spectrograms\blues\blues.00016.png,blues
data\spectrograms\blues\blues.00016.png,blues
data\spectrograms\blues\blues.00017.png,blues
data\spectrograms\blues\blues.00017.png,blues
data\spectrograms\blues\blues.00018.png,blues
data\spectrograms\blues\blues.00018.png,blues
data\spectrograms\blues\blues.00019.png,blues
data\spectrograms\blues\blues.00019.png,blues
data\spectrograms\blues\blues.00020.png,blues
data\spectrograms\blues\blues.00020.png,blues
data\spectrograms\blues\blues.00021.png,blues
data\spectrograms\blues\blues.00021.png,blues
data\spectrograms\blues\blues.00022.png,blues
data\spectrograms\blues\blues.00022.png,blues
data\spectrograms\blues\blues.00023.png,blues
data\spectrograms\blues\blues.00023.png,blues
data\spectrograms\blues\blues.00024.png,blues
data\spectrograms\blues\blues.00024.png,blues
data\spectrograms\blues\blues.00025.png,blues
data\spectrograms\blues\blues.00025.png,blues
data\spectrograms\blues\blues.00026.png,blues
data\spectrograms\blues\blues.00026.png,blues
data\spectrograms\blues\blues.00027.png,blues
data\spectrograms\blues\blues.00027.png,blues
data\spectrograms\blues\blues.00028.png,blues
data\spectrograms\blues\blues.00028.png,blues
data\spectrograms\blues\blues.00029.png,blues
data\spectrograms\blues\blues.00029.png,blues
data\spectrograms\blues\blues.00030.png,blues
data\spectrograms\blues\blues.00030.png,blues
data\spectrograms\blues\blues.00031.png,blues
data\spectrograms\blues\blues.00031.png,blues
data\spectrograms\blues\blues.00032.png,blues
data\spectrograms\blues\blues.00032.png,blues
data\spectrograms\blues\blues.00033.png,blues
data\spectrograms\blues\blues.00033.png,blues
data\spectrograms\blues\blues.00034.png,blues
data\spectrograms\blues\blues.00034.png,blues
data\spectrograms\blues\blues.00035.png,blues
data\spectrograms\blues\blues.00035.png,blues
data\spectrograms\blues\blues.00036.png,blues
data\spectrograms\blues\blues.00036.png,blues
data\spectrograms\blues\blues.00037.png,blues
data\spectrograms\blues\blues.00037.png,blues
